estimated_delivery_date,actual_delivery_date,carrier_name,shipping_cost,destination_country,delivery_time_days,on_time,route
2006-06-02,2006-06-02,Air,780.34,Côte d'Ivoire,0,1,Côte d'Ivoire
2006-11-14,2006-11-14,Air,4521.5,Vietnam,0,1,Vietnam
2006-08-27,2006-08-27,Air,1653.78,Côte d'Ivoire,0,1,Côte d'Ivoire
2006-09-01,2006-09-01,Air,16007.06,Vietnam,0,1,Vietnam
2006-08-11,2006-08-11,Air,45450.08,Vietnam,0,1,Vietnam
2006-09-28,2006-09-28,Air,5920.42,Nigeria,0,1,Nigeria
2006-11-24,2006-11-24,Air,6212.41,Tanzania,0,1,Tanzania
2007-01-08,2007-01-08,Air,13569.49,Zambia,0,1,Zambia
2007-02-27,2007-02-27,Air,64179.42,Rwanda,0,1,Rwanda
2007-01-18,2007-01-18,Air,1760.32,Haiti,0,1,Haiti
2007-03-29,2007-03-29,Air,3120.7,Rwanda,0,1,Rwanda
2007-06-06,2007-06-06,Air,912.96,Tanzania,0,1,Tanzania
2007-06-19,2007-06-19,Air,2682.47,Nigeria,0,1,Nigeria
2007-06-19,2007-06-19,Air,15893.71,Nigeria,0,1,Nigeria
2007-10-15,2007-10-15,Air,4193.49,Vietnam,0,1,Vietnam
2007-08-27,2007-08-27,Air,1767.38,Vietnam,0,1,Vietnam
2007-08-13,2007-08-21,Air,3518.38,Haiti,8,0,Haiti
2007-08-25,2007-08-25,Air,3097.85,Haiti,0,1,Haiti
2007-10-16,2007-10-16,Air,27869.74,Tanzania,0,1,Tanzania
2007-11-22,2007-11-22,Air,28461.1,Tanzania,0,1,Tanzania
2007-11-22,2007-11-22,Air,28359.8,Tanzania,0,1,Tanzania
2007-11-20,2007-11-20,Air,12237.61,Ethiopia,0,1,Ethiopia
2007-10-03,2007-10-03,Air,20885.78,Nigeria,0,1,Nigeria
2008-01-21,2008-01-21,Air,2282.57,Vietnam,0,1,Vietnam
2008-01-21,2008-01-21,Air,2149.05,Vietnam,0,1,Vietnam
2008-01-31,2008-01-31,Air,0.75,Rwanda,0,1,Rwanda
2008-06-17,2008-06-17,Air,5446.51,Côte d'Ivoire,0,1,Côte d'Ivoire
2009-03-19,2009-03-19,Air,2656.12,Côte d'Ivoire,0,1,Côte d'Ivoire
2008-07-28,2008-07-28,Air,360.0,Guyana,0,1,Guyana
2008-11-17,2008-11-17,Air,4112.46,Zimbabwe,0,1,Zimbabwe
2008-04-17,2008-04-17,Air,5468.88,Nigeria,0,1,Nigeria
2008-06-04,2008-06-04,Air,1715.17,Namibia,0,1,Namibia
2008-06-03,2008-06-03,Air,4051.34,Vietnam,0,1,Vietnam
2008-07-12,2008-07-12,Air,2211.05,Vietnam,0,1,Vietnam
2008-07-09,2008-07-09,Air,16090.22,Nigeria,0,1,Nigeria
2008-09-19,2008-09-19,Air,13507.92,Vietnam,0,1,Vietnam
2008-09-02,2008-09-02,Air,645.1,Tanzania,0,1,Tanzania
2008-09-30,2008-09-30,Air,782.13,Haiti,0,1,Haiti
2008-11-24,2008-11-24,Air,871.57,Haiti,0,1,Haiti
2008-09-19,2008-09-19,Air,18614.72,Vietnam,0,1,Vietnam
2009-02-25,2008-09-09,Air,1755.87,Nigeria,-169,1,Nigeria
2008-10-08,2008-10-08,Air,10179.16,Vietnam,0,1,Vietnam
2008-11-27,2008-11-27,Air,4686.88,Vietnam,0,1,Vietnam
2008-08-15,2008-08-15,Air,180.0,Guyana,0,1,Guyana
2008-10-20,2008-10-20,Air,11062.05,Zambia,0,1,Zambia
2008-10-02,2008-10-02,Air,11298.13,Côte d'Ivoire,0,1,Côte d'Ivoire
2009-01-23,2009-01-23,Air,12830.91,Côte d'Ivoire,0,1,Côte d'Ivoire
2008-10-29,2008-10-29,Air,2698.04,Namibia,0,1,Namibia
2008-11-28,2008-11-28,Air,578.01,Botswana,0,1,Botswana
2009-01-23,2009-01-23,Air,1122.24,Zambia,0,1,Zambia
